part_id	name
4041	BBa_S01925
4051	BBa_I3420
4052	BBa_I3101
4053	BBa_I3102
4054	BBa_I3111
4055	BBa_I3112
4057	BBa_I3421
4058	BBa_I3422
4059	BBa_I3423
4060	BBa_I3424
4061	BBa_I3425
4067	BBa_I3522
4068	BBa_I3000
4070	BBa_I8030
4071	BBa_R2000
4072	BBa_C2001
4073	BBa_R2001
4074	BBa_R2002
4075	BBa_R0078
3903	BBa_R0079
4076	BBa_B0050
4077	BBa_B0051
4078	BBa_B0052
4079	BBa_B0053
4080	BBa_B0060
4081	BBa_B0061
4085	BBa_I3701
4084	BBa_I3700
4069	BBa_I3001
3937	BBa_R0074
4087	BBa_I3002
4088	BBa_I8022
4089	BBa_I8023
4090	BBa_I8002
4091	BBa_I8101
4099	BBa_S01933
4101	BBa_S01934
4103	BBa_S01935
4105	BBa_S01936
4156	BBa_I8003
4157	BBa_I8004
4159	BBa_I8032
4160	BBa_I8033
4163	BBa_I8102
4164	BBa_I8024
4165	BBa_I8025
4166	BBa_I8026
4161	BBa_I8034
4162	BBa_I8035
4158	BBa_I8031
4227	BBa_S01984
4229	BBa_S01985
5179	BBa_S03174
4231	BBa_S01986
4233	BBa_S01987
4235	BBa_S01988
4225	BBa_S01983
4209	BBa_S0168
4237	BBa_S01996
4239	BBa_S01997
4241	BBa_S01998
4243	BBa_S01999
4245	BBa_S02000
4247	BBa_S02001
4249	BBa_S02002
4459	BBa_S02107
4460	BBa_E0030
4461	BBa_E0020
4462	BBa_E0430
4463	BBa_E0420
4464	BBa_I6030
4465	BBa_I6032
4466	BBa_I6031
4467	BBa_I6034
4468	BBa_I6036
4469	BBa_I6038
4470	BBa_I6040
4471	BBa_I6042
4472	BBa_I6044
4473	BBa_I6046
4474	BBa_I6048
4475	BBa_I6050
4476	BBa_I6052
4477	BBa_I6054
4478	BBa_I6056
4479	BBa_I6060
4480	BBa_I6061
4481	BBa_I6062
4482	BBa_I6064
4483	BBa_I6066
4484	BBa_I6068
4485	BBa_I6070
4486	BBa_I6072
4487	BBa_I6074
4488	BBa_I6076
4489	BBa_I6078
4490	BBa_I6080
4491	BBa_I6082
4492	BBa_I6084
4493	BBa_I6086
4526	BBa_S03119
4538	BBa_I5611
4539	BBa_I6088
4540	BBa_I6100
4541	BBa_I6101
4542	BBa_I6102
4543	BBa_I6103
4544	BBa_I6104
4545	BBa_I6105
4546	BBa_I6058
4547	BBa_I7000
4548	BBa_E0021
4549	BBa_E0031
4550	BBa_I7001
4551	BBa_I7003
4552	BBa_I7010
4553	BBa_I7011
4554	BBa_I7012
4555	BBa_I7013
4556	BBa_I7014
4557	BBa_I7015
4558	BBa_I7020
4559	BBa_I7021
4560	BBa_I7022
4561	BBa_I7023
4562	BBa_I7024
4563	BBa_I7025
4564	BBa_P0112
4565	BBa_P0140
4566	BBa_P0150
4567	BBa_P0151
4568	BBa_P0152
4569	BBa_P0153
4570	BBa_P0312
4571	BBa_P0340
4572	BBa_P0350
4573	BBa_P0351
4574	BBa_P0352
4575	BBa_P0353
4576	BBa_P0412
4577	BBa_P0440
4578	BBa_P0450
4579	BBa_P0451
4580	BBa_P0452
4581	BBa_P0453
4584	pSB2K3
4586	pSB1A3
4987	BBa_I14032
4991	BBa_I14036
4588	BBa_I5612
4589	BBa_I6106
4590	BBa_I6107
4591	BBa_I6108
4592	BBa_I6109
4593	BBa_I6110
4594	BBa_I6111
4595	BBa_I6112
4596	BBa_I6113
4597	BBa_I6114
4598	BBa_I6115
4599	BBa_I6200
4600	BBa_I6201
4601	BBa_I6202
4602	BBa_I6203
4603	BBa_I6204
4604	BBa_I6205
4605	BBa_I6206
4606	BBa_I6207
